# intensity_mean 	intensity_std 	 backgroudn_mean 	 backgroudn_std 	 number_inner_pixels
3.423256117455138792e+03 2.618228201693395363e+01 3.414425311203319325e+03 1.383526458239878565e+01 6.130000000000000000e+02
3.409292006525285615e+03 1.985759788728582720e+01 3.403670766319773065e+03 1.557742060834074671e+01 6.130000000000000000e+02
3.412233278955954120e+03 1.677534318100877186e+01 3.404637288135593280e+03 1.022529098347029297e+01 6.130000000000000000e+02
3.420737357259380133e+03 1.762509308428256460e+01 3.417401041666666515e+03 1.541139320702697546e+01 6.130000000000000000e+02
3.430278955954323010e+03 1.439045919046986910e+01 3.423983898305084949e+03 1.080656948921587102e+01 6.130000000000000000e+02
3.420690048939641201e+03 2.252977400324031265e+01 3.417803076923076787e+03 2.196790644575553131e+01 6.130000000000000000e+02
3.419207177814029365e+03 1.587259061458779641e+01 3.411097014925373060e+03 1.253473517757988631e+01 6.130000000000000000e+02
3.422184339314845147e+03 1.507329399756627986e+01 3.418798913043478478e+03 1.435397986444736240e+01 6.130000000000000000e+02
3.408559543230016516e+03 1.275628474297629289e+01 3.405059426229508063e+03 1.114723341397055023e+01 6.130000000000000000e+02
3.425314845024469832e+03 2.380460957562128854e+01 3.414286516853932426e+03 2.305713319644226544e+01 6.130000000000000000e+02
3.419858075040783206e+03 1.880910597078297641e+01 3.414339285714285779e+03 2.008702209469220890e+01 6.130000000000000000e+02
3.422709624796084881e+03 1.235845228684021713e+01 3.422258474576271055e+03 1.089145852765014943e+01 6.130000000000000000e+02
3.425419249592169763e+03 1.204878967169366355e+01 3.423116086235489092e+03 9.827354955028960504e+00 6.130000000000000000e+02
3.422029363784665748e+03 1.556292659691001568e+01 3.419331521739130494e+03 1.442747551923838856e+01 6.130000000000000000e+02
3.420818923327895391e+03 1.306196179074309782e+01 3.417820338983050988e+03 1.015698439934217490e+01 6.130000000000000000e+02
3.431719412724306494e+03 1.369677085272796191e+01 3.422769811320754798e+03 9.423967535775128468e+00 6.130000000000000000e+02
3.421553017944534986e+03 3.606147386187968351e+01 3.405350270270270357e+03 1.073053296741554341e+01 6.130000000000000000e+02
3.459477977161500803e+03 5.885928906956280571e+01 3.426080508474576163e+03 1.384745438561877329e+01 6.130000000000000000e+02
3.452164763458401467e+03 4.605593377308476022e+01 3.425652968036529728e+03 2.255056475219221568e+01 6.130000000000000000e+02
3.426582381729200733e+03 1.361981390129221303e+01 3.421969696969696997e+03 9.061690418542555747e+00 6.130000000000000000e+02
3.422805872756933240e+03 1.171576779826638948e+01 3.421501926782273586e+03 9.640128485262298597e+00 6.130000000000000000e+02
3.468756933115823813e+03 3.119377900067572895e+01 3.426737569060773694e+03 2.304823605508142492e+01 6.130000000000000000e+02
3.492357259380097730e+03 1.122874628946659215e+02 3.431290540540540405e+03 2.214395573025496233e+01 6.130000000000000000e+02
3.448567699836868087e+03 7.109782843324367718e+01 3.416543478260869506e+03 1.645508580261028442e+01 6.130000000000000000e+02
3.424787928221859602e+03 1.116277537662746155e+01 3.422674470457079224e+03 9.857792947649947735e+00 6.130000000000000000e+02
3.433838499184339526e+03 1.890704536591046647e+01 3.423886580086580125e+03 9.869983442370967808e+00 6.130000000000000000e+02
3.425530179445350768e+03 1.148846443782144888e+01 3.422370338983050715e+03 9.636493220046686403e+00 6.130000000000000000e+02
3.410822185970636383e+03 1.290469635612238619e+01 3.406090618336887019e+03 9.085433023311050960e+00 6.130000000000000000e+02
3.517068515497553108e+03 1.430471985578584793e+02 3.418455882352940989e+03 2.388417752375323388e+01 6.130000000000000000e+02
3.425176182707993576e+03 1.579554174755506146e+01 3.418064406779661113e+03 1.102743516612112629e+01 6.130000000000000000e+02
3.518805872756933240e+03 1.420284068434993401e+02 3.432400000000000091e+03 1.834411804003306656e+01 6.130000000000000000e+02
3.432668841761827025e+03 2.548465856130664164e+01 3.417977900552486062e+03 1.470293532579566609e+01 6.130000000000000000e+02
3.466574225122349162e+03 5.428205404293954217e+01 3.424264264264264057e+03 9.876070625772147338e+00 6.130000000000000000e+02
3.492066884176182612e+03 1.450493770782247793e+02 3.417794573643410786e+03 2.025650554923731406e+01 6.130000000000000000e+02
3.495605220228384951e+03 1.135834987849918463e+02 3.431047058823529369e+03 2.433342212936666726e+01 6.130000000000000000e+02
3.445442088091353980e+03 4.496852613534339582e+01 3.423390390390390166e+03 9.876603416296036997e+00 6.130000000000000000e+02
3.432360522022838722e+03 2.893879812503655913e+01 3.418091743119266084e+03 1.428898419897647720e+01 6.130000000000000000e+02
3.420525285481239735e+03 2.435326127119931527e+01 3.405300131061599131e+03 9.549091616675465133e+00 6.130000000000000000e+02
3.409570962479608625e+03 1.751401969917420232e+01 3.402582047685834368e+03 9.843192036507861786e+00 6.130000000000000000e+02
3.469732463295269099e+03 4.549062115804642303e+01 3.425520325203252014e+03 2.295323970384949774e+01 6.130000000000000000e+02
3.429492659053833449e+03 1.916082944279704137e+01 3.422857674418604802e+03 9.772539799179888576e+00 6.130000000000000000e+02
3.418257748776508834e+03 2.460783027985349136e+01 3.405609030837004411e+03 1.013282959614932821e+01 6.130000000000000000e+02
3.464845024469820601e+03 4.896615132987030705e+01 3.422103960396039383e+03 2.388159911719629847e+01 6.130000000000000000e+02
3.436502446982055517e+03 2.982420615822377741e+01 3.416813036020583240e+03 1.604264369370253007e+01 6.130000000000000000e+02
3.468158238172919937e+03 6.773539886361075446e+01 3.416434959349593555e+03 2.068388274686724770e+01 6.130000000000000000e+02
3.433647634584012849e+03 2.063976305672523637e+01 3.424737142857142771e+03 9.623357073316162413e+00 6.130000000000000000e+02
3.432947797716150035e+03 1.961307324130691043e+01 3.420810572687224521e+03 8.976561409476827791e+00 6.130000000000000000e+02
3.424830342577487954e+03 1.135461010700006845e+01 3.421990950226244422e+03 9.202837920658096138e+00 6.130000000000000000e+02
3.446730831973899058e+03 4.930354406348217111e+01 3.415224340175952875e+03 2.150866550981982073e+01 6.130000000000000000e+02
3.432818923327895391e+03 1.947956223859181080e+01 3.421552863436123516e+03 9.152793954590199732e+00 6.130000000000000000e+02
3.423464926590538198e+03 1.672249737049443752e+01 3.420297513321491806e+03 1.371866955463574556e+01 6.130000000000000000e+02
3.431745513866231704e+03 1.782506530023946922e+01 3.423428930817609853e+03 9.110415256861044142e+00 6.130000000000000000e+02
3.408161500815660474e+03 1.424276877393853624e+01 3.405045762711864427e+03 1.265043473539711272e+01 6.130000000000000000e+02
3.480050570962479469e+03 1.022871994841177212e+02 3.424707995365005900e+03 9.882883996957234629e+00 6.130000000000000000e+02
3.416869494290375314e+03 1.619757496718774803e+01 3.411865517241379166e+03 1.001933564670965993e+01 6.130000000000000000e+02
3.414880913539967423e+03 1.736689330820268751e+01 3.405971687429218491e+03 1.074950509465385728e+01 6.130000000000000000e+02
3.410494290375203946e+03 1.878465714979704515e+01 3.402696280991735421e+03 9.956864954527429035e+00 6.130000000000000000e+02
3.519264274061990363e+03 1.580490723740782357e+02 3.425229148375768091e+03 9.430639186416591713e+00 6.130000000000000000e+02
3.423029363784665748e+03 1.048275764839429236e+01 3.421583898305084858e+03 9.964032523293537835e+00 6.130000000000000000e+02
3.427585644371941271e+03 1.227450797201642452e+01 3.425206405693950273e+03 9.197844234589076962e+00 6.130000000000000000e+02
3.428512234910277130e+03 1.161741662621971471e+01 3.432395580110497121e+03 2.020142717786512776e+01 6.130000000000000000e+02
3.416729200652528561e+03 1.792757985868222548e+01 3.410483170466883621e+03 9.800839177338927399e+00 6.130000000000000000e+02
3.447432300163131913e+03 5.618206886616781048e+01 3.409912592592592773e+03 1.029964709664853828e+01 6.130000000000000000e+02
3.447869494290375314e+03 3.314498181941740995e+01 3.427161864406779841e+03 9.790867584101578203e+00 6.130000000000000000e+02
3.431448613376835056e+03 4.392243703665333499e+01 3.406961016949152508e+03 9.495414003686603266e+00 6.130000000000000000e+02
3.436060358890701536e+03 2.174690417753203775e+01 3.421001776198934294e+03 1.407396082839835749e+01 6.130000000000000000e+02
3.414269168026100942e+03 1.388325756370780972e+01 3.407785038693035403e+03 9.258226323824839454e+00 6.130000000000000000e+02
3.418760195758564350e+03 2.996925419534660406e+01 3.405610169491525539e+03 1.751998079593458613e+01 6.130000000000000000e+02
